date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-07-24,0,left,1545786075641151489,https://twitter.com/FootyScran/status/1545786075641151489,3.0,89.1,2022,Steak pie,,Nairn County F.C.,SCO,0_left.webp,https://scrandle.com/media/o/FXO8Pa9XoAMT-Gl.webp,scrandle,center,925.2561769014761
2025-07-24,0,right,1631314553882419201,https://twitter.com/FootyScran/status/1631314553882419201,2.8,57.2,2023,Sziros kenyer,With a pint,Budafoki FC,HUN,0_right.webp,https://scrandle.com/media/o/FqOX8DeWcAEcFdE.webp,scrandle,center,845.8591339482705
2025-07-24,1,left,1899252499627798638,https://x.com/FootyScran/status/1899252499627798638,14.0,48.1,2025,Meatzza Pizza Fries,"Pepperoni, italian sausage, mozzarella, pizza sauce and nacho cheese sauce",Dallas FC,USA,1_left.webp,https://scrandle.com/media/o/GluAFAUXEAAA1ZJ.webp,scrandle,center,1028.548211910914
2025-07-24,1,right,1532032262249775104,https://twitter.com/FootyScran/status/1532032262249775104,6.4,90.6,2022,Pork gyros,,F.C. Copenhagen,DEN,1_right.webp,https://scrandle.com/media/o/FULfONcWQAAkJoM.webp,scrandle,center,1131.6764413576263
2025-07-24,2,left,1615351724172009472,https://twitter.com/FootyScran/status/1615351724172009472,4.5,80.0,2023,Chicken curry and chips,,Coleshill Town F.C.,ENG,2_left.webp,https://scrandle.com/media/o/Fmrh1D6XgAAYm_8.webp,scrandle,center,1031.617653485129
2025-07-24,2,right,1626353187346173952,https://twitter.com/FootyScran/status/1626353187346173952,7.5,79.5,2023,Cholo dog,Mexican hot dog,Orlando City SC,USA,2_right.webp,https://scrandle.com/media/o/FpH3k_ZWIAEUDSN.webp,scrandle,center,1078.8412535784923
2025-07-24,3,left,1622360157203173377,https://twitter.com/FootyScran/status/1622360157203173377,5.2,78.5,2023,Fried apple pancake,With vanilla,Borussia Mönchengladbach,GER,3_left.webp,https://scrandle.com/media/o/FoPH9k_XgAE70VW.webp,scrandle,center,1027.7518630464913
2025-07-24,3,right,1642200544780451841,https://twitter.com/FootyScran/status/1642200544780451841,6.0,10.7,2023,Cheeseburger,,Cheltenham Town F.C.,ENG,3_right.webp,https://scrandle.com/media/o/FspEsMRXsAESWhZ.webp,scrandle,center,709.8323134610242
2025-07-24,4,left,1524868275708084229,https://twitter.com/FootyScran/status/1524868275708084229,4.0,73.1,2022,Choripan,,Boca Juniors,ARG,4_left.webp,https://scrandle.com/media/o/FSlrnRtXwAIMZXe.webp,scrandle,center,852.187785558334
2025-07-24,4,right,1661145825987424256,https://twitter.com/FootyScran/status/1661145825987424256,14.0,79.0,2023,Brisket mac and cheese,,St Louis City SC,USA,4_right.webp,https://scrandle.com/media/o/Fw2TUeuWYAE0hC_.webp,scrandle,center,1138.0546496248712
2025-07-24,5,left,1543338932775124992,https://twitter.com/FootyScran/status/1543338932775124992,1.5,84.0,2022,Tequeño,,Deportivo Tachira,VEN,5_left.webp,https://scrandle.com/media/o/FWsKk8EWYAIK1vx.webp,scrandle,center,883.0784468000105
