date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-10-28,0,left,1891812448451072397,https://x.com/MartinLacy18344/status/1891812448451072397,7.95,84.28,2025,Loaded fries,,Elland Road,ENG,0_left.webp,https://scrandle.com/media/o/GkERY2MXgAAABUD.webp,scrandle,center,654.9739500768534
2025-10-28,0,right,1475555740333088768,https://x.com/FootyScran/status/1475555740333088768,6.0,71.75,2021,Bacon cheeseburger,,Folkestone Invicta F.C.,ENG,0_right.webp,https://scrandle.com/media/o/FHo6H5tWUA84TKi.webp,scrandle,center,441.2411191897277
2025-10-28,1,left,1505209730058313738,https://x.com/FootyScran/status/1505209730058313738,3.5,51.47,2022,Chips and curry sauce,In a cob,Merthyr Town FC,WAL,1_left.webp,https://scrandle.com/media/o/FOOURRdXsAYXNbn.webp,scrandle,center,375.91621881486947
2025-10-28,1,right,1657111649457786895,https://x.com/FootyScran/status/1657111649457786895,11.0,42.26,2023,A pint of Stella,In a Budweiser cup,Toronto FC,CAN,1_right.webp,https://scrandle.com/media/o/Fv8-QtxX0AEFu9R.webp,scrandle,center,295.41960568032766
2025-10-28,2,left,1865765414443143241,https://x.com/SportScran/status/1865765414443143241,7.95,79.83,2024,Loaded fries,,Leeds United,ENG,2_left.webp,https://scrandle.com/media/o/GeSHwUbWoAAmXfm.webp,scrandle,center,564.4353687517957
2025-10-28,2,right,1922742213575905770,https://x.com/SportScran/status/1922742213575905770,6.0,85.04,2025,Chili cheese fries,,Farnborough FC,ENG,2_right.webp,https://scrandle.com/media/o/Gq7z2ZuWQAA45Mk.webp,scrandle,center,662.9528532498897
2025-10-28,3,left,1793602620143395101,https://x.com/mizzusomething/status/1793602620143395101,,3.85,2024,Burger,,Unknown Location,MAS,3_left.webp,https://scrandle.com/media/o/GOQoE4ibsAAPnze.webp,scrandle,center,134.28120421233635
2025-10-28,3,right,1872715713947025469,https://x.com/albiongirl68/status/1872715713947025469,6.0,15.84,2024,Apple and mince pie crumble,With custard,Brighton & Hove Albion,ENG,3_right.webp,https://scrandle.com/media/o/Gf05BHOWcAA3tns.webp,scrandle,center,217.275902912505
2025-10-28,4,left,1841194823405154577,https://x.com/SportScran/status/1841194823405154577,5.2,67.23,2024,Fish burger,,Borussia Monchengladbach,GER,4_left.webp,https://scrandle.com/media/o/GY087kDXwAgqu-_.webp,scrandle,center,429.3249916936592
2025-10-28,4,right,1479516248996294659,https://x.com/FootyScran/status/1479516248996294659,5.0,81.38,2022,Giant Yorkshire pudding,"With chicken, vegetables and gravy",Man City Women,ENG,4_right.webp,https://scrandle.com/media/o/FIhMLwVXMAMOpQg.webp,scrandle,center,532.2604507672804
2025-10-28,5,left,1866550558200565851,https://x.com/PodcastChickens/status/1866550558200565851,,10.87,2024,Pie and mash,,Stockport County FC,ENG,5_left.webp,https://scrandle.com/media/o/GedR1ktWsAETn-7.webp,scrandle,center,215.69717075832912
2025-10-28,5,right,1815845636463313391,https://x.com/McPavlik/status/1815845636463313391,10.35,49.93,2024,Philly cheesesteak,,Nashville SC,USA,5_right.webp,https://scrandle.com/media/o/GTMt-fTWsAAlIcR.webp,scrandle,center,425.73362622037837
2025-10-28,6,left,1827796336562851983,https://x.com/FootyScran/status/1827796336562851983,5.5,53.21,2024,Cheese burger,With a hot chocolate,Gwalia United,WAL,6_left.webp,https://scrandle.com/media/o/GV0_TZDXsAAXk4y.webp,scrandle,center,505.1100518125554
2025-10-28,6,right,1518199174193463297,https://x.com/FootyScran/status/1518199174193463297,8.0,30.63,2022,Sliced steak,With peppercorn sauce and fries,Man City,ENG,6_right.webp,https://scrandle.com/media/o/FRG6GebXoAIl1UV.webp,scrandle,center,363.046116014598
2025-10-28,7,left,1860049428083802593,https://x.com/MottysMic/status/1860049428083802593,5.0,60.08,2024,Devon Steak Pasty,,Plymouth Argyle F.C.,ENG,7_left.webp,https://scrandle.com/media/o/GdA5FYVXsAA4vpX.webp,scrandle,center,364.83668138201534
2025-10-28,7,right,1770056596913098978,https://x.com/jrahughes/status/1770056596913098978,12.0,26.8,2024,Meat and potato pie,"With chips, peas and gravy and a pint of Pomona",Altrincham F.C.,ENG,7_right.webp,https://scrandle.com/media/o/GJCBGCFXEAAhVix.webp,scrandle,center,528.5133461893464
2025-10-28,8,left,1876548736006185410,https://x.com/Jacob01Aus/status/1876548736006185410,9.1,58.25,2025,Chicken wings and chips,,Suncorp Stadium,AUS,8_left.webp,https://scrandle.com/media/o/GgrXH7RagAAJOFo.webp,scrandle,center,416.62960875378747
2025-10-28,8,right,1773448059516592216,https://x.com/FootyScran/status/1773448059516592216,7.5,40.72,2024,Chicken balti pie,With chips and curry sauce,Altrincham FC,ENG,8_right.webp,https://scrandle.com/media/o/GJyNnAEW0AAmNLp.webp,scrandle,center,183.74896755100346
2025-10-28,9,left,1472646599763501058,https://x.com/FootyScran/status/1472646599763501058,5.0,27.76,2021,"Pie, mash, mushy peas and gravy",,Stockport County,ENG,9_left.webp,https://scrandle.com/media/o/FG_kRntX0AgV0Ae.webp,scrandle,center,254.28464037780338
2025-10-28,9,right,1580984243337199616,https://x.com/FootyScran/status/1580984243337199616,17.5,58.41,2022,Chicken and fries,With a pint,FC Lausanne Sport,SUI,9_right.webp,https://scrandle.com/media/o/FfDIyPPWAAsf0R3.webp,scrandle,center,383.5521432731386
