date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-09-19,0,left,1710092921649631313,https://twitter.com/FootyScran/status/1710092921649631313,1.5,62.0,2023,Pizza and beer,,Chapecoense,BRA,0_left.webp,https://scrandle.com/media/o/F7t4cEUXgAAVqHz.webp,scrandle,center,339.1626847149952
2025-09-19,0,right,1608593219113345024,https://twitter.com/FootyScran/status/1608593219113345024,2.3,65.5,2022,Mini pizza,,Botafogo,BRA,0_right.webp,https://scrandle.com/media/o/FlLe_fwXwAUCThq.webp,scrandle,center,313.0580502437404
2025-09-19,1,left,1619651074549485568,https://twitter.com/FootyScran/status/1619651074549485568,4.3,53.6,2023,Margherita pizza,,AC Milan,ITA,1_left.webp,https://scrandle.com/media/o/FnooEGrWQAEUZqC.webp,scrandle,center,308.2440020112844
2025-09-19,1,right,1574063841452986376,https://twitter.com/FootyScran/status/1574063841452986376,2.5,61.9,2022,Slice of Dominos pizza,,CF Hercules,ESP,1_right.webp,https://scrandle.com/media/o/Fdgyt8JX0AgKuYD.webp,scrandle,center,394.78910014045033
2025-09-19,2,left,1580258000392318976,https://twitter.com/FootyScran/status/1580258000392318976,2.0,39.1,2022,Pizza,,Botafogo,BRA,2_left.webp,https://scrandle.com/media/o/Fe40Rl2WAAIv-HJ.webp,scrandle,center,207.70809939386362
2025-09-19,2,right,1504539368203112451,https://twitter.com/FootyScran/status/1504539368203112451,2.9,53.0,2022,Two slices of pizza,,Inter,ITA,2_right.webp,https://scrandle.com/media/o/FOEyk_tWQAUQDCZ.webp,scrandle,center,242.15628137005385
2025-09-19,3,left,1492125462734254090,https://twitter.com/FootyScran/status/1492125462734254090,13.5,32.7,2022,Garlic fries and cheese pizza,,USA v Honduras,USA,3_left.webp,https://scrandle.com/media/o/FLUYMpBX0AIBUIw.webp,scrandle,center,441.3633800317258
2025-09-19,3,right,1633817110299156480,https://twitter.com/FootyScran/status/1633817110299156480,6.7,38.3,2023,Pepperoni pizza,,Celtic FC,SCO,3_right.webp,https://scrandle.com/media/o/Fqx7_r9XoAEYE_w.webp,scrandle,center,215.26845445359217
2025-09-19,4,left,1507648375688212482,https://twitter.com/FootyScran/status/1507648375688212482,6.2,32.5,2022,Kiwi and sausage pizza,,Cerezo Osaka,JPN,4_left.webp,https://scrandle.com/media/o/FOw-MWnXwAMn2Qc.webp,scrandle,center,206.1344681949643
2025-09-19,4,right,1656631791694893063,https://twitter.com/FootyScran/status/1656631791694893063,4.3,30.7,2023,Pizza,,San Siro,ITA,4_right.webp,https://scrandle.com/media/o/Fv2J05yX0AE0W1E.webp,scrandle,center,235.070157474705
2025-09-19,5,left,1589925825125961729,https://twitter.com/FootyScran/status/1589925825125961729,5.0,29.6,2022,Pizza,,Carlisle,ENG,5_left.webp,https://scrandle.com/media/o/FhCNFxcWIAExQmp.webp,scrandle,center,271.4011068610222
2025-09-19,5,right,1518621458267791370,https://twitter.com/FootyScran/status/1518621458267791370,3.5,25.6,2022,Pizza slice,,West Brom,ENG,5_right.webp,https://scrandle.com/media/o/FRM6KnIX0AMQsAF.webp,scrandle,center,309.74399389621834
2025-09-19,6,left,1502361185638825984,https://twitter.com/FootyScran/status/1502361185638825984,15.0,19.8,2022,Pizza slice,With a can of beer,Chicago Fire,USA,6_left.webp,https://scrandle.com/media/o/FNl1iJvXwAMxM1s.webp,scrandle,center,376.65032262983004
2025-09-19,6,right,1702402982543810827,https://twitter.com/FootyScran/status/1702402982543810827,18.0,21.9,2023,Pizza and beer,,Chicago Red Stars,USA,6_right.webp,https://scrandle.com/media/o/F6AmfI4XEAA3l8n.webp,scrandle,center,235.50492963903204
2025-09-19,7,left,1517812740206825475,https://twitter.com/FootyScran/status/1517812740206825475,19.95,18.6,2022,Pizza,,Arsenal,ENG,7_left.webp,https://scrandle.com/media/o/FRBao9tX0AAy42N.webp,scrandle,center,331.0474782374632
2025-09-19,7,right,1576571398117818369,https://twitter.com/FootyScran/status/1576571398117818369,6.7,17.6,2022,Pizza,,Celtic FC,SCO,7_right.webp,https://scrandle.com/media/o/FeEbU57WQAAGDjh.webp,scrandle,center,300.4789756651202
2025-09-19,8,left,1495026658285338625,https://twitter.com/FootyScran/status/1495026658285338625,5.0,17.3,2022,Pizza slice,,Arsenal,ENG,8_left.webp,https://scrandle.com/media/o/FL9m0UmWUAAmTv_.webp,scrandle,center,265.7634632747747
2025-09-19,8,right,1703467639677362495,https://twitter.com/FootyScran/status/1703467639677362495,3.45,15.9,2023,Pizza with olives,,Marseille,FRA,8_right.webp,https://scrandle.com/media/o/F6PuyfBWkAAeziq.webp,scrandle,center,175.0913661328987
2025-09-19,9,left,1688644803154604032,https://twitter.com/FootyScran/status/1688644803154604032,10.2,5.2,2023,Sicilian pizza slice,,Allegiant Stadium,USA,9_left.webp,https://scrandle.com/media/o/F29FfzsXsAAHXw1.webp,scrandle,center,300.2690021798438
2025-09-19,9,right,1528420506742964224,https://twitter.com/FootyScran/status/1528420506742964224,2.0,12.6,2022,Pizza slice,,Chelsea FC,ENG,9_right.webp,https://scrandle.com/media/o/FTYKWU2WAAIePIB.webp,scrandle,center,235.68799515311082
