date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2026-04-18,0,left,1516876321783267328,https://x.com/FootyScran/status/1516876321783267328,9.0,51.3,2022,Ice cream nachos,,Chicago Fire,USA,0_left.webp,https://scrandle.com/media/o/FQ0G-KVXsAAII7f.webp,scrandle,center,395.1506543184138
2026-04-18,0,right,1916509801774748108,https://x.com/SportScran/status/1916509801774748108,18.0,16.04,2025,5 Zsíros kenyér,With 5 pints,MTK Budapest,HUN,0_right.webp,https://scrandle.com/media/o/GpjPgW6XYAAz-d4.webp,scrandle,center,156.7808121092123
2026-04-18,1,left,1571174426183344129,https://twitter.com/FootyScran/status/1571174426183344129,10.0,86.9,2022,Beavertown battered haddock and chips,With mushy peas and tartar sauce,Tottenham Hotspur,ENG,1_left.webp,https://scrandle.com/media/o/Fc3uzu_WQAMs9X2.webp,scrandle,center,402.81914586339576
2026-04-18,1,right,1750607109178208307,https://x.com/FootyScran/status/1750607109178208307,8.0,77.8,2024,The chippy tea butty,"fishcake on a bed of chips, topped with mushy peas and tartar sauce",Doncaster Rovers,ENG,1_right.webp,https://scrandle.com/media/o/GEtn4mjWkAAnP8J.webp,scrandle,center,467.5967936918733
2026-04-18,2,left,1596866496579670016,https://twitter.com/FootyScran/status/1596866496579670016,8.0,89.8,2022,Jerk chicken and rice,,Bristol Rovers FC,ENG,2_left.webp,https://scrandle.com/media/o/Fik1m1DWYAADmgO.webp,scrandle,center,608.8241601235231
2026-04-18,2,right,1510232771213631495,https://twitter.com/FootyScran/status/1510232771213631495,5.0,69.7,2022,Cookies,Price for 2,Ipswich,ENG,2_right.webp,https://scrandle.com/media/o/FPVssu7XsAoZuNl.webp,scrandle,center,346.332320369599
2026-04-18,3,left,1949600228769767687,https://x.com/FootyScran/status/1949600228769767687,9.0,81.82,2025,Hog Wild,"BBQ pulled pork, mac and cheese, bacon bits, fried onions, sour cream, BBQ sauce",Peoria City,USA,3_left.webp,https://scrandle.com/media/o/Gw5fEmpWoAALRSq.webp,scrandle,center,631.5524477988703
2026-04-18,3,right,1574453334815125509,https://x.com/FootyScran/status/1574453334815125509,5.0,44.32,2022,Steak pie,"With chips, mushy peas, gravy and chip spice",North Ferriby FC,ENG,3_right.webp,https://scrandle.com/media/o/FdmU9fVXoAELFgk.webp,scrandle,center,378.74703275030805
2026-04-18,4,left,1593967046941085696,https://twitter.com/FootyScran/status/1593967046941085696,3.0,84.5,2022,Cheesy nachos,,Eastleigh FC,ENG,4_left.webp,https://scrandle.com/media/o/Fh7okXuXwAIKIoK.webp,scrandle,center,316.48039394412376
2026-04-18,4,right,1672586661635473410,https://twitter.com/FootyScran/status/1672586661635473410,10.0,70.5,2023,Steak and kidney pie,"With mash, peas, gravy, and a drink",Bohemians,IRL,4_right.webp,https://scrandle.com/media/o/FzY4s9HXoAQdYCG.webp,scrandle,center,180.87520778452063
