0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
-0.3754084,-3.1307676,1.0691578,0.7818639,-0.6295526,-0.12573871,0.8001388,0.096730135,0.1785397,0.86472255,0.7384545,0.15668124,0.031779278,-0.3363776,0.5219464,1.8025064,-0.1919794,2.0551996,-0.0014225915,-0.1213144,-1.7473413,-0.38718617,0.150289,-0.15065557,-1.5416071,-0.45562652,2.799166,0.6582069,-0.35170758,-1.0170578,-1.2222761,0.58244944,0.8761414,-0.22117278,-0.9991503,1.0070677,-0.3419841,-0.1306581,-0.39536116,0.86096114,-1.7255346,2.2021189,-1.3144336,0.31134278,-0.25116545,-1.0396626,-1.1480691,0.829198,-1.4728479,-0.5907486,-0.31083164,-0.81092733,-0.28157994,-1.7105232,-1.5720004,-0.04802479,-0.4119329,0.20001866,1.2575767,-0.6407529,0.92114234,1.467512,0.5496735,0.36552456,-2.159596,-1.1996909,0.01516844,0.01648827,0.5744684,-0.5234796,-0.39522898,0.00065905915,0.35179833,1.5133989,-0.37411606,0.16648832,-0.041383013,0.35424402,-0.008654702,0.14027293,-0.7382964,0.17651066,0.21660838,-0.28883597,0.3000243,0.9991859,-1.3481832,-0.11945735,-0.65318495,-0.45963234,0.4879125
-0.016068561,-1.98686,-0.9629853,-0.6502447,-0.45879444,0.010863122,0.80279535,0.2723488,0.44713056,-0.7403599,-1.3086197,-0.60827875,0.48846292,-0.030915283,0.43488383,0.39689326,-1.8521376,0.2390528,-0.12606342,-0.8781696,1.2333081,0.42201242,0.62879926,-1.2509664,-1.4319655,0.048533008,0.42420727,1.9966766,-0.21244238,0.16054377,-0.8460385,-1.7035798,-0.27409294,-0.4234232,-0.36448184,3.0865712,0.104616486,0.9282393,0.18466327,-1.8998058,-0.22793137,-0.26864302,-0.63038856,-0.05926618,0.1459075,0.069682404,-0.38923654,0.73303914,-0.17278332,1.4193096,-0.28209826,0.2524962,1.1206305,-1.1289828,-0.6746493,-0.10981269,-0.30536863,-0.40574816,-0.3260473,0.31143457,-0.4944652,1.8028692,-0.19753288,-2.0545816,-0.4388843,-0.06839986,-0.44132105,0.6545351,-0.17587808,0.09876508,-1.1666296,-0.37652758,0.5157775,-0.9699378,-0.5908428,0.1444357,-1.203525,-0.96635705,-0.12811902,0.6085807,-0.08620646,1.0049664,0.2918306,-0.13907127,0.15510355,-0.34963655,0.73523074,-0.4480282,-0.3529954,-1.774108,0.23093747
0.20660387,-0.8130673,-0.6234724,-1.0531673,-0.08556396,1.040301,0.3505051,0.9466689,0.86419195,-1.2090625,0.25929895,-0.16870064,0.15911524,0.49219063,0.19215524,0.9835692,-0.8486322,0.10148899,-0.08636602,0.06574801,0.2079582,0.79803205,0.047388524,-1.3080263,-2.3255837,0.06024708,1.6544183,1.5990964,0.32821316,0.4938768,0.7965362,-1.3092457,-0.29208905,0.9301404,-0.099674135,3.2429454,0.2962305,0.40887228,0.14802732,-1.455558,0.4029956,1.3603535,0.84922785,0.17974395,-0.11491209,0.06737086,1.0028162,-0.397681,0.1702657,0.88374454,0.17289478,1.1080029,1.0566168,-0.40192285,0.8087258,-0.37177756,-0.64969444,0.4061171,-0.28092992,0.12909377,-0.47545072,0.2819739,0.36361384,-0.68604,0.47788692,0.18035823,-0.6747719,0.28992152,-1.0057614,1.4017057,-0.23585173,-0.76974446,0.7938423,-0.43468145,-0.31256884,-1.0676968,-0.53461516,-0.8446562,0.4331355,0.20054802,-0.5729135,1.4017545,0.38453257,-0.22229266,0.6004427,-0.046622466,2.0122457,-0.83052516,0.71993464,-0.38763672,-0.27966315
-0.6971086,-1.7004471,-0.008746509,0.202627,-0.39604104,0.38168487,0.25803953,-0.7317211,0.39706102,0.5602452,0.91042846,1.9143718,-1.1714131,0.0063329726,-0.2509659,1.0183221,0.28028977,0.50145686,-0.10004539,-0.9499761,-1.4775052,-0.5748124,0.31618595,-0.8447465,-1.540244,1.4860349,0.6596202,0.5429916,-0.118045166,0.39980656,-0.39351028,-1.3294386,-0.18710959,0.54306495,-0.5312922,3.0636868,0.020428583,-0.8712893,0.21023333,-0.69947237,-0.6008375,1.9908676,-0.25522876,0.7565065,0.026313785,0.72289956,0.83962536,1.303457,-1.7096084,-0.050605167,0.6760367,0.3632816,-1.0137745,-0.8126136,-0.88405305,0.3163457,0.20761126,0.29947904,0.47738308,-0.052890565,-0.20209685,0.020650309,-0.13615076,-0.54516506,-0.9654098,-0.33234736,-0.35314938,0.5875671,0.6398423,0.1630539,-0.4307036,-0.85731995,-1.3154093,-0.001850687,0.0016030073,-0.77382445,0.9711851,-0.8807055,-0.66306245,-0.08134172,-0.4397413,-0.19745871,0.7692733,0.48360208,0.20490074,0.7830825,-0.42582384,-1.4495542,0.1895185,0.54699695,1.6667318
-0.9780698,-1.4546704,-0.040646974,-1.1458888,0.3097901,0.9947649,0.45722625,0.1570074,-0.08512603,-0.2145863,0.9045867,-0.59501415,-1.016536,-0.026463885,0.38074735,1.3714502,-0.16841443,0.6514885,-0.40672547,0.664101,-0.2285196,0.7157222,0.2762481,-0.9500202,-1.4053599,0.079159245,1.4909934,2.1343765,0.63252205,-0.3274973,-0.09796092,0.051143155,1.4658589,1.1342903,-0.67323565,2.7600598,-0.30797324,-1.1564314,-1.0328614,-0.4180046,-0.25038475,0.714267,0.24929099,-0.18911481,-0.19905064,-0.7691747,-0.7181445,1.2182046,0.0817301,-0.95174265,0.919363,-0.6302843,1.0186739,-0.54274786,0.5523672,-0.8631833,-0.034901626,0.06227867,-0.944848,0.36717036,-0.17773303,0.03545609,-0.4564044,1.1757348,-0.46139586,-0.70662326,-0.59229374,0.7704634,0.861642,-0.40883818,-0.55360425,0.5989526,0.29583395,-0.28287998,-0.9627962,-0.6505001,0.23490313,-1.1314932,-0.5478485,0.23949443,0.3258661,2.258684,-0.5010592,-1.2420993,1.1655729,1.0910473,1.071206,0.6622205,-0.12793124,-1.3284715,-0.28430027
-0.4116208,0.007188894,0.12829307,0.52937585,-0.21438225,0.4549948,-0.34411916,-0.08869473,-0.17070894,-0.17763123,0.42185265,0.7657142,1.0424175,1.2284629,0.99376047,0.6525974,-0.40787333,-0.3759981,-0.4469155,-0.1787827,0.35344496,-0.18837205,-0.41873395,-1.4319829,-2.6020052,0.51857406,-1.2491362,0.42286316,-0.14994207,0.061453782,0.25608665,-0.61240107,-0.9913806,-0.22138302,-0.012495454,3.2595448,-1.130865,-0.028718997,-0.2668101,-1.5749235,0.8094599,-0.250529,0.448021,-0.62619627,-0.022062365,-0.421483,0.059318557,-0.098929,-1.2765021,0.6575424,-0.017573636,0.3273082,-0.03611809,-0.2704393,0.34961027,0.036401965,-0.034214552,-0.10372073,0.45405048,-0.81789327,0.08362185,-0.06449709,-0.20853393,-1.3147602,-1.0561318,0.10159095,0.37056172,-0.165189,-1.5464761,0.0033573397,-0.07080203,-0.69915867,0.3193445,-0.6931684,-0.21579804,0.16540244,0.6905727,-1.9588791,-0.26771808,0.0535348,-1.2548573,-0.6854245,-0.19907458,0.14325689,0.7591148,0.15458855,1.144844,-1.8461832,0.101255685,-0.42218596,1.0359675
0.047347292,-1.0403557,0.7343271,0.052932054,-0.86169404,1.8017315,0.5293067,-1.2330512,-0.9391502,-0.95777065,0.5211903,-1.0879767,1.257835,-0.7604473,1.1689057,0.28714997,-1.2411525,-0.90020776,-0.47039044,-0.8396408,0.5887421,0.30639926,0.3107811,-1.8827226,-2.9573414,-3.2259626,-0.46971413,1.0810691,-0.034996897,-0.08108595,-0.21909209,-1.1407229,-1.0272787,-0.9776879,0.72097105,3.659967,-0.5021969,0.055866342,-0.20011866,-0.9787898,2.3915513,-0.40547785,-0.9543784,-0.55744606,-1.2267766,-0.9424276,-1.5412005,-0.07785973,-0.595055,1.0152222,-0.7281691,0.11352106,1.1803423,0.41715685,0.70699096,-0.4341571,-0.6228603,-0.6742014,0.279351,-0.25650918,1.3435615,0.9846103,-0.1238486,-1.3585552,-0.4848987,-1.0251198,0.32257214,0.9517124,-1.7457678,-0.653566,-0.3077694,-0.39603326,0.45254686,0.8853574,-1.0488893,-0.13912068,-0.17098013,-2.010602,0.27025902,0.20934835,-1.9503092,0.635174,-0.22464344,1.0214713,0.88921285,-0.7767451,0.31366134,-1.7982426,-0.4322224,0.06227836,2.4335656
-0.11365059,-1.0200084,0.5246542,1.1225281,-0.68723255,0.40982538,0.39489058,-0.444081,0.084583044,0.26792124,0.16025543,-0.5705113,0.5025977,-0.09644705,0.8779034,1.1609116,-0.30499524,0.11364807,-0.31800616,-0.6861783,-0.11435336,-0.2781944,-0.74815017,-1.5113817,-3.7459607,-0.19057566,0.07053945,0.9087497,0.96130216,-0.11364646,-0.40838248,-1.0560817,-1.3398618,-0.4794765,0.7293278,2.659313,-0.35267627,0.4937758,-0.14103699,-1.148928,0.105402455,-0.028923461,-0.31990734,-0.5679816,0.05123475,0.18554638,-0.21799055,-0.43841934,-0.79918003,-0.4515225,-1.2249181,0.08289821,0.0065807793,-1.436073,-0.21077028,0.3273123,0.40234298,-0.15881252,1.2206873,0.23563224,-0.15675026,-0.21851125,0.46566403,-0.42706355,-1.1829109,-0.7629462,0.40547463,0.2326152,-0.29737657,-0.8749027,0.6606378,0.21827357,-0.15450367,0.70894396,-0.43343502,0.6192407,-0.67489505,-1.6009907,-0.7207912,0.27035344,-1.0602891,0.51250297,7.14995e-05,0.7486491,0.7263314,0.29998943,0.012004234,-1.1277827,-0.005081561,-0.71315104,1.3584067
-0.7713449,-0.8076122,-0.0655263,0.28841528,0.24507575,0.030518869,0.48140028,-0.80617213,0.4833319,1.5340446,0.2672965,0.106756166,0.03185172,-0.2477521,0.5543662,1.5816609,-0.26813865,-0.18942648,0.2196723,0.51803863,-1.3339094,1.12727,-0.016852684,1.19086,-1.4416618,0.26140758,1.0289112,1.9953061,-0.065404676,0.31619805,0.45128477,-0.47042933,0.3758105,1.4104375,0.41787285,3.0873413,-0.34850967,-1.3700658,0.118535876,-0.7093841,-0.16080894,0.45823914,0.2963829,1.4586838,0.6548402,-0.2227113,-0.08226494,0.6941053,-0.16151267,-0.29576457,1.135515,-0.33071926,1.7796822,-0.98574996,-0.9062267,-0.078080714,0.093151174,0.0127899805,0.4207378,-0.8375537,-0.682076,0.31458542,-0.03208264,1.4479305,-1.3039732,0.664831,-0.46350962,-1.8230331,0.16961601,0.9907445,-0.611062,1.2459592,0.1440946,-0.93922836,-0.5081128,-0.8772835,-0.33221737,-0.14187351,0.4677668,-1.5015897,0.06805743,1.264672,-0.32676417,-1.0294471,-0.052231453,0.3157999,-0.06928839,-0.7535804,0.06785537,-1.6537869,-0.22268096
0.5079417,-2.8213751,0.72770125,0.06920064,-0.62320036,-0.6187358,0.5059877,0.037226565,-0.2380182,0.069634356,-0.107645236,-0.8424044,-0.13878672,-0.954665,-0.07023003,2.1259189,-0.8973778,-0.5413778,0.55412954,-0.4903157,-2.2905116,0.29213828,1.83653,-1.1502136,-1.6730003,0.17092706,1.2419648,1.003605,0.1312801,0.037841402,0.22306818,-1.187754,0.16677354,1.6801462,0.033785034,2.226881,-0.4920019,-0.9568617,-0.16847445,0.52726036,-0.29047596,0.67189926,-0.10856192,-0.24617587,-0.7087791,0.24076602,-0.31827155,0.99310565,-0.6913667,-0.6179225,-0.4398208,-0.4926794,-0.34914485,-0.8137128,0.29317898,0.3423506,0.05977206,0.61800396,0.5280136,-0.1560761,0.46345782,0.29459664,0.55581975,-0.32966235,-1.8070052,-0.42208612,0.10586375,0.30154508,0.9802722,-0.30922925,0.303567,1.4330404,0.92912555,0.3702557,0.22238632,-0.06296825,-0.17574513,-0.8348747,0.12762433,-1.2759002,-1.1407034,1.1724943,0.31901276,-0.4700536,-0.5079831,-1.0495924,-0.22305919,-0.018538654,0.92600226,-1.222994,0.67063946
