date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-10-03,0,left,1875560344892141593,https://x.com/groundopper/status/1875560344892141593,4.5,73.74,2025,Chicken curry and chips,,Staveley Miners Welfare Football Club,ENG,0_left.webp,https://scrandle.com/media/o/GgdUK9dXoAAGK9y.webp,scrandle,center,493.13843174326826
2025-10-03,0,right,1520755152084426754,https://x.com/FootyScran/status/1520755152084426754,6.2,36.3,2022,Chicken curry and chips,,Dundalk FC,IRL,0_right.webp,https://scrandle.com/media/o/FRrOv90WUAMSzTR.webp,scrandle,center,337.3173591013362
2025-10-03,1,left,1951600858459676713,https://x.com/adxxmmxl/status/1951600858459676713,2.8,22.77,2025,Water in a box,,West Bromwich Albion,ENG,1_left.webp,https://scrandle.com/media/o/GxV6n2MXoAA38-n.webp,scrandle,center,258.4280163355176
2025-10-03,1,right,1608905598602731525,https://x.com/FootyScran/status/1608905598602731525,4.5,15.8,2022,Prime,,West Ham,ENG,1_right.webp,https://scrandle.com/media/o/FlP7HK9XoAIiRzI.webp,scrandle,center,161.8854959805364
2025-10-03,2,left,1762914596472369364,https://x.com/FootyScran/status/1762914596472369364,0.0,23.32,2024,Free oysters,,A.S. Velasca,ITA,2_left.webp,https://scrandle.com/media/o/GHchd6eX0AA51JJ.webp,scrandle,center,159.21608991532494
2025-10-03,2,right,1689100765762109440,https://x.com/FootyScran/status/1689100765762109440,0.0,29.23,2023,Free hot dog,,New York Mets,USA,2_right.webp,https://scrandle.com/media/o/F3DkMXPW4AAVFeP.webp,scrandle,center,255.9523072057254
2025-10-03,3,left,1492940245284925440,https://x.com/FootyScran/status/1492940245284925440,4.5,58.57,2022,Two slices of stuffed crust pizza,,York City,ENG,3_left.webp,https://scrandle.com/media/o/FLf9PPpXsAMC8G0.webp,scrandle,center,489.15376012762965
2025-10-03,3,right,1477283211852103683,https://x.com/FootyScran/status/1477283211852103683,5.0,55.95,2022,Pizza,,Hartlepool,ENG,3_right.webp,https://scrandle.com/media/o/FIBdP9hXMAMkRvH.webp,scrandle,center,391.70969763000613
2025-10-03,4,left,1848740669424095588,https://x.com/SportScran/status/1848740669424095588,15.4,59.61,2024,Fish and chips,With tartar sauce,Anaheim Ducks,USA,4_left.webp,https://scrandle.com/media/o/GagL1uhXYAEjO5B.webp,scrandle,center,482.97257524564804
2025-10-03,4,right,1467887708236300289,https://x.com/FootyScran/status/1467887708236300289,9.0,70.19,2021,Cod and chips,"With mushy peas, halloumi and chaat masala",Aston Villa,ENG,4_right.webp,https://scrandle.com/media/o/FF78FqKWQAEx2W7.webp,scrandle,center,574.5397799062386
2025-10-03,5,left,1472141194901823490,https://x.com/FootyScran/status/1472141194901823490,4.0,77.16,2021,Loaded nachos,,Barnsley FC,ENG,5_left.webp,https://scrandle.com/media/o/FG4YnNPWUAE9tG4.webp,scrandle,center,474.2699447603684
2025-10-03,5,right,1458875067287359492,https://x.com/FootyScran/status/1458875067287359492,4.0,65.21,2021,Loaded Nachos,,Grimsby,ENG,5_right.webp,https://scrandle.com/media/o/FD73I1hWQAMPWqe.webp,scrandle,center,408.8997718450388
2025-10-03,6,left,1780017382360064435,https://x.com/jrhartauthor/status/1780017382360064435,18.55,74.76,2024,Slider box,,Children's Mercy Park,USA,6_left.webp,https://scrandle.com/media/o/GLPkYB5XUAAq5mn.webp,scrandle,center,471.1906653186105
2025-10-03,6,right,1743355932036280442,https://x.com/FootyScran/status/1743355932036280442,19.0,79.37,2024,Sharer box,"Chicken fillet tenders, hash browns, fries and BBQ salsa",Man City,ENG,6_right.webp,https://scrandle.com/media/o/GDGk-m7XYAALuaH.webp,scrandle,center,573.6558872936721
2025-10-03,7,left,1489703437906456578,https://x.com/FootyScran/status/1489703437906456578,0.0,29.45,2022,Nothing,Free for fans,Manchester United,ENG,7_left.webp,https://scrandle.com/media/o/FKx9YKeWYAY9Ho5.webp,scrandle,center,153.6529391750372
2025-10-03,7,right,1842649183787884926,https://x.com/chap1862/status/1842649183787884926,,30.99,2024,Air pie,,Notts County FC,ENG,7_right.webp,https://scrandle.com/media/o/GZJnqhaXcAAQHJC.webp,scrandle,center,227.07859530355478
2025-10-03,8,left,1457077801891344386,https://x.com/FootyScran/status/1457077801891344386,,13.01,2021,The pea dog,,Burscough Town,ENG,8_left.webp,https://scrandle.com/media/o/FDiUiRpWUAcREfD.webp,scrandle,center,209.79795509224297
2025-10-03,8,right,1502061144101597209,https://x.com/FootyScran/status/1502061144101597209,4.5,29.1,2022,Green cheeseburger,With green beer,Palmeiras,BRA,8_right.webp,https://scrandle.com/media/o/FNhkphyXsBQQmwy.webp,scrandle,center,340.817031857783
2025-10-03,9,left,1509504740081770501,https://x.com/FootyScran/status/1509504740081770501,5.0,66.32,2022,5 sugar doughnuts,,Camberley Town,ENG,9_left.webp,https://scrandle.com/media/o/FPLWj1WXsAIzVy3.webp,scrandle,center,378.86318269883293
2025-10-03,9,right,1665807558001524736,https://x.com/FootyScran/status/1665807558001524736,2.0,59.37,2023,Chocolate donut,,Atlante,MEX,9_right.webp,https://scrandle.com/media/o/Fx4jJOMWYAEHAQM.webp,scrandle,center,259.7606068806788
