date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-08-11,0,left,1710718004730695698,https://twitter.com/FootyScran/status/1710718004730695698,7.0,72.2,2023,Bacon cheeseburger,,Manchester United F.C.,ENG,0_left.webp,https://scrandle.com/media/o/F72w9I6WYAA-xmE.webp,scrandle,center,903.5294536867032
2025-08-11,0,right,1661508498948063232,https://twitter.com/FootyScran/status/1661508498948063232,16.0,82.6,2023,Popcorn chicken and curly fries,In a bucket,Sporting Kansas City,USA,0_right.webp,https://scrandle.com/media/o/Fw7dK1hX0AACAJJ.webp,scrandle,center,1033.099453285798
2025-08-11,1,left,1743648572376010913,https://twitter.com/FootyScran/status/1743648572376010913,3.6,90.1,2024,Footlong sausage roll,,Swindon Town F.C.,ENG,1_left.webp,https://scrandle.com/media/o/GDKvIYSXQAARC5H.webp,scrandle,center,1030.2224594610632
2025-08-11,1,right,1608593219113345024,https://twitter.com/FootyScran/status/1608593219113345024,2.3,65.5,2022,Mini pizza,,Botafogo de Futebol e Regatas,BRA,1_right.webp,https://scrandle.com/media/o/FlLe_fwXwAUCThq.webp,scrandle,center,905.296004185594
2025-08-11,2,left,1487049124310667264,https://twitter.com/FootyScran/status/1487049124310667264,4.5,44.8,2022,"Meatballs, chips, peas and gravy",,Stourbridge F.C.,ENG,2_left.webp,https://scrandle.com/media/o/FKMPS0NWQAk42Ur.webp,scrandle,center,969.4784807751395
2025-08-11,2,right,1495342221142417409,https://twitter.com/FootyScran/status/1495342221142417409,11.6,83.9,2022,Fish and chips,With a pint,Melbourne City FC,AUS,2_right.webp,https://scrandle.com/media/o/FMCF0kjXMAUyiQ1.webp,scrandle,center,1043.7296149684817
2025-08-11,3,left,1524721848260476928,https://twitter.com/FootyScran/status/1524721848260476928,10.95,72.5,2022,Pepperoni pizza,,Watford F.C.,ENG,3_left.webp,https://scrandle.com/media/o/FSjmb68X0Agr4Ru.webp,scrandle,center,1050.605049690127
2025-08-11,3,right,1661017022036344832,https://twitter.com/FootyScran/status/1661017022036344832,5.5,81.1,2023,Pepperoni pizza burger,"Double quarter-pounder, mozzarella, marinara, pepperoni",Hyde United F.C.,ENG,3_right.webp,https://scrandle.com/media/o/Fw0eLJ7acA4N3BV.webp,scrandle,center,950.1799547264146
2025-08-11,4,left,1892200928377258142,https://x.com/FootyScran/status/1892200928377258142,8.2,83.6,2025,Salt n pepper chicken and chips,,Newcastle United F.C.,ENG,4_left.webp,https://scrandle.com/media/o/GkJytszWMAAe28R.webp,scrandle,center,983.5953569703706
2025-08-11,4,right,1516060023373320201,https://twitter.com/FootyScran/status/1516060023373320201,6.5,88.0,2022,Burger and chips,,Hungerford Town F.C.,ENG,4_right.webp,https://scrandle.com/media/o/FQogjfTXwAEHGkH.webp,scrandle,center,1092.8846551724985
2025-08-11,5,left,1617261680353738752,https://twitter.com/FootyScran/status/1617261680353738752,3.0,76.4,2023,Spicy steak sandwich,,1. FC Union Berlin,GER,5_left.webp,https://scrandle.com/media/o/FnGq7MlX0AAnx6G.webp,scrandle,center,997.8044572971663
2025-08-11,5,right,1494639555433086977,https://twitter.com/FootyScran/status/1494639555433086977,4.0,85.8,2022,Nachos,,Barnsley F.C.,ENG,5_right.webp,https://scrandle.com/media/o/FL4Gv2bXEAkAXQg.webp,scrandle,center,1163.754508567592
2025-08-11,6,left,1633453127226499074,https://twitter.com/FootyScran/status/1633453127226499074,8.0,16.7,2023,Seekh kebab,,Arsenal F.C.,ENG,6_left.webp,https://scrandle.com/media/o/Fqsw9SZWcAAa1xF.webp,scrandle,center,831.8352001990328
2025-08-11,6,right,1564659373078634498,https://twitter.com/FootyScran/status/1564659373078634498,10.0,89.8,2022,Sausage stromboli,,Atlanta United FC,USA,6_right.webp,https://scrandle.com/media/o/FbbJZ4mWYAA68i9.webp,scrandle,center,1055.344128018749
2025-08-11,7,left,1492813794506072065,https://twitter.com/FootyScran/status/1492813794506072065,6.5,67.5,2022,Crabble burger and chips,,Dover Athletic,ENG,7_left.webp,https://scrandle.com/media/o/FLeKOH_XEAMJ1wk.webp,scrandle,center,1031.6216016626229
2025-08-11,7,right,1690803278932557825,https://twitter.com/FootyScran/status/1690803278932557825,7.95,93.3,2023,Hog roast bowl,"Waffle fries, roast pork, crackling, gravy, stuffing and whole grain mustard sauce",Hull City A.F.C.,ENG,7_right.webp,https://scrandle.com/media/o/F3bwnhvWIAIzH2h.webp,scrandle,center,1153.015792987311
2025-08-11,8,left,1557726444796919811,https://twitter.com/FootyScran/status/1557726444796919811,4.0,17.7,2022,Cheese and onion panini,,Manchester United F.C.,ENG,8_left.webp,https://scrandle.com/media/o/FZ4n77naAAATShW.webp,scrandle,center,923.7889578001987
2025-08-11,8,right,1492917706407952389,https://twitter.com/FootyScran/status/1492917706407952389,7.5,74.6,2022,Double cheeseburger,,Leicester City F.C.,ENG,8_right.webp,https://scrandle.com/media/o/FLfovS5XMAQ55dw.webp,scrandle,center,1032.9607715667803
2025-08-11,9,left,1766115157376143836,https://x.com/FootyScran/status/1766115157376143836,7.5,82.8,2024,Currywurst and beers,Beers included in price,Schalke 04,GER,9_left.webp,https://scrandle.com/media/o/GIKAX5XXkAEPIqO.webp,scrandle,center,1035.738118439181
2025-08-11,9,right,1513913124184858625,https://twitter.com/FootyScran/status/1513913124184858625,3.0,26.1,2022,Cheesy chips,,AFC Telford United,ENG,9_right.webp,https://scrandle.com/media/o/FQJ_9cXXoAk9QJO.webp,scrandle,center,767.0068129128877
