date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-05-11,0,left,1743648572376010913,https://twitter.com/FootyScran/status/1743648572376010913,3.6,90.1,2024,Footlong sausage roll,,Swindon Town F.C.,ENG,0_left.webp,https://scrandle.com/media/o/GDKvIYSXQAARC5H.webp,scrandle,center,1030.2224594610632
2025-05-11,0,right,1496503163557457922,https://twitter.com/FootyScran/status/1496503163557457922,4.0,83.5,2022,Chicken curry and chips,,Keynsham Town,ENG,0_right.webp,https://scrandle.com/media/o/FMSlsShXEAI5k_8.webp,scrandle,center,928.7537784621508
2025-05-11,1,left,1906088175891513568,https://x.com/FootyScran/status/1906088175891513568,3.3,50.8,2025,Sausage,,Holstein Kiel,GER,1_left.webp,https://scrandle.com/media/o/GnPJFyTWMAEZ_c2.webp,scrandle,center,769.7435814784213
2025-05-11,1,right,1520415002347323394,https://twitter.com/FootyScran/status/1520415002347323394,8.0,82.5,2022,Loaded fries and loaded hot dog,,Coventry City F.C.,ENG,1_right.webp,https://scrandle.com/media/o/FRmZYpjXIAAfLyi.webp,scrandle,center,1114.40679214945
2025-05-11,2,left,1688994564684619776,https://twitter.com/FootyScran/status/1688994564684619776,7.5,92.6,2023,"Pie, mash, peas and gravy",,Blackburn Rovers F.C.,ENG,2_left.webp,https://scrandle.com/media/o/F3CDmmgWAAAxcQz.webp,scrandle,center,977.4705424865022
2025-05-11,2,right,1516151067033100300,https://twitter.com/FootyScran/status/1516151067033100300,0.8,77.8,2022,Coxinha,Chicken paste in deep fried bread,Club Athletico Paranaense,BRA,2_right.webp,https://scrandle.com/media/o/FQpzW5gXwAICGrr.webp,scrandle,bottom,948.6588480767047
2025-05-11,3,left,1634673542036873216,https://twitter.com/FootyScran/status/1634673542036873216,6.0,88.7,2023,Poutine,,Vancouver Whitecaps,CAN,3_left.webp,https://scrandle.com/media/o/Fq-G6vEXgAcY2RT.webp,scrandle,center,1208.8025435962522
2025-05-11,3,right,1522638098487730180,https://twitter.com/FootyScran/status/1522638098487730180,10.0,73.2,2022,Fish and chips,With curry sauce,Manchester City F.C.,ENG,3_right.webp,https://scrandle.com/media/o/FSF_R36WYAEjzrO.webp,scrandle,center,1071.5405237552159
2025-05-11,4,left,1895196383399026976,https://x.com/FootyScran/status/1895196383399026976,5.5,74.4,2025,Donuts,"With nutella, marshmallows and cream",Kilmarnock F.C.,SCO,4_left.webp,https://scrandle.com/media/o/Gk0XEC4XgAAMRRe.webp,scrandle,center,1081.1873024171693
2025-05-11,4,right,1698826741064614251,https://twitter.com/FootyScran/status/1698826741064614251,2.4,81.1,2023,Beef pastel,With a pint,Goiás Esporte Clube,BRA,4_right.webp,https://scrandle.com/media/o/F5Nx6mDWwAAgeH2.webp,scrandle,center,877.4126413486011
2025-05-11,5,left,1726190602784809193,https://twitter.com/FootyScran/status/1726190602784809193,0.38,82.8,2023,Samosas,,Bengaluru FC,IND,5_left.webp,https://scrandle.com/media/o/F_SpM--XQAAsRcu.webp,scrandle,center,951.4688620783908
2025-05-11,5,right,1499009960100995073,https://twitter.com/FootyScran/status/1499009960100995073,2.0,92.8,2022,Gurmanska Pljeskavica,Spiced meat patty mixed with cheese and bacon bits,Red Star Belgrade,SRB,5_right.webp,https://scrandle.com/media/o/FM2Nmz8WQAQUBP5.webp,scrandle,center,1216.5765968440917
2025-05-11,6,left,1523393928333987840,https://twitter.com/FootyScran/status/1523393928333987840,1.0,65.7,2022,Fried banana,,Manaus Futebol Clube,BRA,6_left.webp,https://scrandle.com/media/o/FSQusofXsAAdSf8.webp,scrandle,center,951.35230765076
2025-05-11,6,right,1633563561216581632,https://twitter.com/FootyScran/status/1633563561216581632,4.7,13.9,2023,Cheeseburger,,Hibernian F.C.,SCO,6_right.webp,https://scrandle.com/media/o/FquVZitXwAMZZjQ.webp,scrandle,center,750.9971305503562
2025-05-11,7,left,1488991113641930753,https://twitter.com/FootyScran/status/1488991113641930753,5.8,67.5,2022,Pepperoni pizza cones,,Philadelphia Union,USA,7_left.webp,https://scrandle.com/media/o/FKn1hT7XEAEnCFg.webp,scrandle,center,1008.0651230260185
2025-05-11,7,right,1765000173409693832,https://x.com/FootyScran/status/1765000173409693832,6.0,95.9,2024,Chicken and chips,With piri piri mayo,Gloucester City A.F.C.,ENG,7_right.webp,https://scrandle.com/media/o/GH6KTVLXQAAYpdp.webp,scrandle,center,1190.5767754398944
2025-05-11,8,left,1686508798737825792,https://twitter.com/FootyScran/status/1686508798737825792,7.8,16.3,2023,Chicago style hot dog,,Chicago Fire FC,USA,8_left.webp,https://scrandle.com/media/o/F2euz8qbQAMyaif.webp,scrandle,center,824.4044250851757
2025-05-11,8,right,1883247310228136309,https://x.com/FootyScran/status/1883247310228136309,5.5,65.6,2025,"Steak pie, gravy and mushy peas",,Wigan Athletic F.C.,ENG,8_right.webp,https://scrandle.com/media/o/GiKjcjnWoAAWvYj.webp,scrandle,center,856.3334329806946
2025-05-11,9,left,1601304100209332224,https://twitter.com/FootyScran/status/1601304100209332224,5.6,23.2,2022,Hot dog,,Qatar World Cup,QAT,9_left.webp,https://scrandle.com/media/o/Fjj5lyqX0AMbzcd.webp,scrandle,center,791.440807822223
2025-05-11,9,right,1519834446387625984,https://twitter.com/FootyScran/status/1519834446387625984,2.4,76.7,2022,Pollo a la brasa,Grilled chicken and rice,Barcelona S.C.,ESP,9_right.webp,https://scrandle.com/media/o/FReJX0tX0AIjEKb.webp,scrandle,center,1020.8593171189623
