0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0.23998378,-0.63608843,0.8652159,-0.21470249,-0.95346034,0.22494699,0.6789368,0.2551072,-0.19679785,0.17519122,-0.53933585,0.2472321,-0.1220074,0.36958554,-0.66642445,0.7083111,-0.43686357,-0.2609501,-0.11602883,-0.02977825,0.082135856,-0.72289807,-0.002781637,-0.8095882,1.1196676,0.8129743,0.28880444,0.07511659,-0.7527328,0.7270379,-0.2421349,-1.1660721,0.036598373,0.035115838,-0.35114667,0.01353658,-0.44762737,-0.08643485,-0.7468413,-0.50311863,0.4975567,-0.07980062,-0.96004283,-0.85950524,0.05643437,-0.060273234,-0.5465422,0.40886515,-0.39389527,-0.35408542,-0.39146647,0.32805198,0.39298615,-0.05482106,0.42905,0.2617469,0.01653175,0.31004262,-0.044258785,-0.7518079,-0.51177347,0.32179528,-0.033005603,0.31873086,-1.3501937,0.44274604,-0.93184286,-0.2134227,-0.31161138,-0.51983666,-0.04572832,0.59997255,0.8124512,0.08550067,-0.1769023,-0.49497056,-0.21943143,-1.1340415,-0.25947052,-1.3160291,0.5088644,0.31863007,0.036397498,1.3420796,-1.2668921,-0.10504868,1.1008306,-0.21619849,-0.53456366,-0.3613637,0.24515423,0.30823657,-0.5825768,0.5981223,-1.5602502,-0.44951737,-0.22172087,-0.3024823,-1.0978516,1.9297919,-0.1583286,-0.04132952,1.5707116,-0.016925707,0.2840139,-0.32609153,-0.51423144,0.2420409,-0.5093008,0.7439797,0.24787761,1.4511832,0.109687984,-0.18937415,-0.34330642,0.41422445,0.48705968,0.22300318,-0.7668877,-0.5377074,0.6279395,-0.22552681,-0.20764194,-0.016681233,-0.5323408,-0.7080672,-0.05615662,-0.5774945,-0.41324267,-1.5638913,0.03265319,-0.048813835,0.41337642,0.20561218,0.45034477,-0.37382492,0.33373156,0.4997039,0.25426507,0.8654145,0.068844005,0.8677014,-0.06687316,0.3317368,0.30071113
0.469413,-0.3914114,-0.079986766,0.36172178,-0.26576495,0.5823607,0.32407194,-0.14718318,0.16748813,0.18805584,0.108812936,-0.76564157,-0.6851685,-0.08948314,0.4513271,0.2417253,0.04071379,-0.21829158,-0.31618458,-0.35792357,-0.13669014,-0.30799,-0.061598852,-0.5874119,-0.24963537,0.24740832,0.30361247,-0.06465654,0.27923995,0.031448726,0.79649514,-0.22518606,0.27952954,-0.6546402,-0.9358119,0.16696228,0.57679284,-0.37107423,-0.05348366,-0.5349624,0.6714254,0.3252236,-0.70913494,0.4085637,0.010703657,-0.40762547,-0.085244246,-0.7469286,-0.20475242,-0.2702567,-0.23811062,-0.09271127,0.4544411,0.5062377,0.16082767,0.43560717,-0.07052808,0.82350296,0.22011614,-0.12151903,0.053432055,0.36016336,-0.43569106,0.50338566,-0.49666664,-0.24751942,-0.87251145,-0.12760857,-0.63421315,0.4435182,0.03799402,-0.16859348,-0.076718725,0.3098069,-0.22625904,-0.86116624,0.38582477,-0.85408694,0.6459998,-1.0486761,-0.30556297,0.50382954,-0.1222579,1.5186341,0.20996651,-0.12084362,1.0841347,-0.20747396,0.009762423,0.7876848,0.21507402,0.54644716,-0.18230782,0.8212488,-1.1427841,-0.72845334,-0.29106212,0.049046367,0.338069,1.029182,0.020804424,-0.6769198,0.9610416,0.732802,-0.35479796,-0.2817343,-0.19517188,0.9030342,-0.2757896,0.40845013,0.9418875,-0.20273954,0.17051503,-0.5969157,0.08644682,-0.36567175,0.259214,0.29846892,-0.50738454,-0.65529305,0.68053967,0.3388928,-0.08346511,-0.39356926,0.13794437,-0.61994785,0.06734331,-0.32395196,0.052724805,-1.9217165,-0.33470383,0.1714487,0.36389765,-0.11856025,0.53034484,-0.18675181,-0.043394398,-0.66851056,0.059791222,0.11517035,-0.15457898,0.32205138,0.3842948,0.1604321,-0.38109317
-0.05671875,-0.2306862,-0.078962766,-0.17265794,-0.9161564,-0.6289454,0.077788144,-0.6169357,0.186036,0.029064633,-0.2567239,-1.0927068,-0.32740346,0.26460034,-0.11020282,0.09379156,-0.074419014,0.2503802,-0.09400892,-0.015268974,-0.16847652,-0.01592653,0.05068608,-0.27515447,0.49364316,0.6911114,0.031034593,-0.088571064,0.11448465,-0.07511974,-0.017742068,-0.65000826,0.7137061,0.3483955,0.05966106,-0.250263,-0.082222275,-0.5057313,0.0246768,-1.0510781,-0.120321274,0.7873579,-0.6314782,-0.016768357,0.8147582,0.86297613,-0.12360193,-0.147019,-0.19628142,-0.501235,0.55249447,-0.31634584,0.075584024,-0.065636836,-0.6605885,-0.21168521,-0.25373214,0.8064326,-0.34438717,-0.038118232,-0.021172563,-0.9703382,0.55150485,-0.4728942,-0.46243888,0.076978125,-0.63100034,0.13577545,-0.031252354,0.09799615,0.028251396,0.7002881,-0.12871665,0.12411815,-0.038443744,-0.5338504,-0.41862324,-0.19473374,0.62674016,-0.26199645,-0.3392058,0.090431474,0.5011953,0.8952276,-0.2084887,-0.72537977,0.8046981,-0.13296501,0.24616908,-0.32145005,-0.13997455,-0.04155451,-0.048405644,0.12812907,-0.9370808,-0.7928002,0.17669362,0.0852555,0.20920736,0.43403438,0.25743964,-0.008853311,0.61505884,-0.34297317,-0.3289355,-0.19403222,0.58429885,-0.21481168,-0.27871555,-0.24966142,-0.25333297,0.6307116,0.35792363,-0.88383865,0.27192587,-0.45671302,-0.3569502,-0.24095106,-0.4297051,-0.31678483,0.5427644,-0.18668044,-0.2502722,-0.5590224,-0.15864088,0.2163599,0.1884081,-0.4657479,0.6043033,-0.97964287,0.27813542,0.124767296,-0.16820276,-0.15598324,0.54617256,-0.4053824,0.5269619,0.4455233,0.098395884,0.23476487,0.3449443,0.16624036,0.059951268,0.4807281,0.19321987
-0.28417772,0.36215585,-0.09822644,0.5956378,-0.20034896,-0.12905447,-0.17242059,-0.5860087,0.15825541,-0.12411079,-0.34531313,-0.2066606,-0.28790668,-0.5720525,0.5750206,0.08559486,-0.29418314,0.21863064,-0.897048,-0.20191543,0.117213055,0.14745957,0.1432784,-0.09079758,0.7291212,-0.06566862,0.37310618,-0.368374,-0.5972346,-0.3001749,0.5430317,-1.0704832,0.07157771,-0.47141278,0.09529868,0.10758036,0.4296556,0.19511938,-0.39346263,-0.5503846,0.12889683,-0.028803244,0.178022,-0.69510025,0.4253882,-0.14434169,0.115129,-0.11263548,-0.31870043,-0.6765663,0.13271405,0.09564629,0.21783605,0.2490787,-0.3535909,0.21308032,-0.37282002,0.42131773,-0.09496842,0.3410412,-0.28795394,0.003563352,-0.6728602,0.0954201,-0.94774103,0.74310166,-0.9359572,0.44279867,-0.35918468,0.35275114,-0.12537324,-0.30905277,0.30882642,-0.68460184,-0.3136515,-0.29762125,0.1522025,-0.61748666,-0.7149871,-0.5393791,-0.07275343,0.37013778,-0.12019165,1.5166285,-0.57427496,0.07544608,1.8551352,-0.021250013,0.32063425,0.16043878,-0.20840009,0.0884154,-0.08516881,0.15036191,-0.2394628,-0.21952322,0.70569193,-0.44999453,-0.26930192,1.4644743,0.60958433,-0.113287896,0.49917904,-0.34933835,0.37932706,-0.07408251,0.5731407,0.4066618,-0.08286091,0.02299112,0.61337584,0.6624702,-0.61323977,-0.90839076,0.6369762,-0.19947876,-0.4276878,0.37915835,-0.30054823,-0.85503036,-0.062181965,-0.82930773,-0.21698841,-0.56464237,-0.43660045,0.12371569,0.6420655,-0.7073789,-0.32884872,-1.9515376,0.082948975,0.7611692,0.8921714,0.11765961,0.09317177,-0.76862854,0.472862,-0.6095248,0.41165257,0.673018,-0.024300253,0.37068084,-0.27533603,0.10279477,-0.38749933
0.7392234,-0.8286279,0.039523117,0.037170358,-0.7626614,0.09203033,-0.13058358,-0.075921595,0.32735372,-0.6534658,-0.1476996,-0.013725396,0.13235123,0.20181997,-0.41915515,0.246573,-0.26954922,0.28569677,0.28116062,0.036738385,-0.5778539,0.11744869,-0.10811789,-0.6167433,-0.14824647,-0.00065731537,-0.051327743,-0.084502116,-0.42245227,-0.31946388,-0.6303979,-0.61658067,0.14498892,-0.12886487,0.7952752,-0.10714066,0.17041393,-0.16774148,-0.1842895,-0.5148834,0.015755028,1.2077868,-0.075207576,-0.49310842,0.35972625,0.11819227,-0.44212607,-1.15259,0.46401116,0.3529738,-0.43590355,-0.04403602,-0.30143845,-0.22229579,-0.67301965,0.07301171,-0.02439523,0.7133097,0.19387339,-0.18486083,0.14492275,-0.32558668,0.6863828,0.31232253,-0.53697926,-0.07652719,-0.97765166,-0.19458158,0.18311787,-0.4202679,0.30023926,0.5878355,0.230471,0.4021337,-0.29157355,-0.7211744,-0.40563002,-0.28824952,0.13329089,-0.20236124,-0.8445731,0.17471744,-0.59083736,0.9139293,-0.38831216,-0.3596754,0.67879623,-0.83841765,0.3294551,0.21070695,0.19587755,-0.23777053,-0.23624821,-0.018510623,-0.667305,-0.30680105,-0.03696522,0.029398106,-0.60580075,0.8083885,-0.013953756,-0.4364433,0.6912539,-0.37840804,0.04405439,0.016770182,-0.35158262,-0.027382128,0.07741523,0.31620008,0.030019414,0.28429517,-0.22440025,-0.8674886,-0.39010218,-0.3954424,0.4659086,-0.24049962,-0.33102268,-1.1886157,0.02136708,-0.1473383,0.011074265,-0.6399768,-0.44982526,-0.3689532,0.6093558,-0.45048648,-0.55093414,-1.7342787,0.019589316,0.23760143,-0.6623024,-0.5311773,0.91641307,-0.18027397,1.0025444,-0.298816,-0.023457816,0.013025917,-0.53860396,0.2745727,0.07787516,0.409569,0.29588348
-0.051782064,-0.91526395,-0.60694873,0.03858815,-0.20959787,-0.16187242,-0.4622152,-0.11174072,-0.07359196,-0.02350919,0.21750225,-0.080088064,0.2357123,0.09182477,0.04807023,0.5111285,-0.004892437,0.58540714,0.3146466,0.35417062,-0.18549244,0.011571854,-0.13690263,0.073167965,0.47788087,0.22464249,-0.30532253,-0.3274554,-0.49530578,-0.14641792,-0.23646772,-1.7791109,-0.07225822,-0.27128184,-0.35431075,-0.31522077,0.4027288,-0.08528032,0.4278495,-0.38460454,-0.19764778,0.8479676,-0.043968953,-0.2890048,-0.016367575,0.051662732,-0.11078683,-0.12944034,0.08302121,0.12347968,-0.3348139,0.36834857,-0.1909052,-0.38304102,-0.81908566,0.13376229,-0.12834357,0.72849613,0.10869433,0.07967265,0.024985384,-0.08599006,-0.2946536,-0.20503056,-0.700824,-0.41955,-0.9643842,0.1196958,-0.6121519,0.3084802,-0.22265482,-0.15967387,0.09991874,0.229363,-0.26297283,-0.8233619,0.12593769,-0.43295357,-0.19228393,0.11198115,-0.3148563,0.14202695,0.8227687,0.40843546,-0.17267041,-0.4833644,0.56804746,0.11079475,0.30956843,0.5246358,0.024625624,0.17191319,0.3374259,0.31990612,-1.0290178,-0.3601446,-0.11769851,-0.15373133,0.07438389,0.6875156,-0.12165255,-0.4940404,0.32148695,-0.50385416,-0.023791999,-0.13545619,0.000521861,-0.05619214,-0.44397104,-0.22058257,0.10744302,-0.06131704,0.095960334,-0.27766678,0.032786924,-0.26795825,-0.50283176,0.08954856,-0.10560719,-0.55030763,-0.24829094,-0.047515497,0.016668076,-1.14204,-0.1710695,0.14069079,0.8508647,0.3717649,-0.25331682,-1.0698304,0.05380954,0.17024538,-0.09645942,0.20416182,0.49936107,0.16108045,0.7507075,-0.050286397,0.115519226,0.12696056,-0.076035626,0.031537764,-0.09411662,0.12011017,0.020889048
1.1299682,-0.16069666,0.21888325,-0.37960854,-0.1622808,0.46686366,-0.88996744,-0.18562227,0.27815467,-0.76967156,-0.3531864,-0.11552149,0.1965786,0.0077270437,-0.24159674,-0.073887825,0.004267141,0.76922446,0.2809984,-0.25937265,-0.042156916,-0.3241421,0.5052616,-0.07465498,0.22688732,-0.08855078,-0.15204999,-0.018660303,-0.53497714,0.23854148,-0.064195044,-2.2784727,0.23487937,-0.5881385,-0.33023614,-0.23200315,-0.09533444,0.6228976,-0.63378865,-0.3885565,0.1671417,0.69999456,0.002548828,-0.45781314,-0.9006846,0.42832473,-1.2404768,-0.536413,0.28941432,-0.7921635,-0.3336695,0.21807425,-0.13187411,0.19682015,-0.23430602,0.9317179,0.39910513,0.536741,0.53351617,-0.7987626,1.176619,1.0603127,-0.59395635,-0.10042195,0.136428,-0.24223472,-1.1110028,-0.102491416,-0.80501693,-0.43403614,-0.20267054,-0.6578617,0.64194673,0.7436514,-0.22799683,-1.8459876,0.022168264,-0.8844386,0.8051347,0.22149685,0.95904994,1.0498574,0.6716052,0.45243403,0.08245603,0.36102092,1.0964214,-0.048338503,-0.3495544,1.4449177,0.23737882,0.67239887,-0.3398559,0.8918132,-1.7033042,-0.6516439,0.17219934,0.1113638,-1.0807244,1.0940893,0.5177168,-1.3944867,0.93612653,0.34912875,-0.43200475,-0.4485808,-0.8916897,0.23298165,-0.21402885,0.42316532,0.46503085,0.13953863,0.31572247,-0.58014727,-0.35762352,-0.24298912,0.65895414,-0.76914275,0.22832799,-0.879403,0.41626093,-0.13473645,-0.24773055,-0.899428,-0.29539964,-0.729083,0.38064957,-0.19214882,0.14912121,-1.3647544,0.24201952,0.22768706,-0.17985755,-0.028005295,0.75073355,-0.27704042,1.2507461,-0.5073094,-0.123329476,0.4663216,-0.19585457,0.70156235,0.680343,-0.8762238,0.589941
0.21831587,-0.34613442,-0.46233815,-0.2782607,-0.03452703,0.26284656,-0.041114453,0.6602366,-0.31486428,0.0831041,0.27296406,0.62958324,0.012907617,0.58143747,0.04156091,-0.20593302,0.14389542,0.37447125,0.064951725,0.19482346,-0.08439335,0.24058802,-0.2665086,-0.15345751,0.34336,-0.0074545136,-0.34574956,-0.53774565,-0.24515305,0.20398036,-0.06351668,-1.6801744,-0.09338588,-0.154167,-0.9370532,-0.0014751107,0.06986551,-0.05044368,-0.23615557,-0.94203323,-0.0808509,0.38161278,0.035011128,-0.60696375,0.07413227,-0.2637759,-0.004960429,-0.41605163,-0.16385493,0.092689894,-0.7474766,0.23399569,-0.09011462,0.21078093,-0.050625432,0.5995127,0.22735818,0.6976386,-0.097025156,-0.050126635,0.5714641,0.27867004,-0.38706812,0.19983774,-0.89640087,-0.11309716,-0.65093046,-0.4226304,-0.3967315,0.0021220446,0.13147543,-0.1879479,-0.03726451,0.118047774,-0.2724054,-0.6141618,0.17255893,-0.44518793,-0.11151088,-0.033650246,0.3990773,-0.2959707,0.32768926,0.6716916,-0.32653093,0.3249336,0.83386153,0.11113481,-0.20802465,0.64105004,-0.12548442,-0.36664993,0.09132376,0.34469676,-0.61553264,-0.28781724,-0.13641351,-0.2542169,0.30508354,1.365218,0.17561334,-0.61380976,0.4656562,-0.12012351,-0.5558336,-0.2963467,-0.35570112,0.024237059,-0.27791333,0.21459246,0.14765364,0.17977114,-0.01661967,-0.37864733,0.16466318,0.009894704,0.04631036,0.37832612,0.03930421,-0.6992143,0.0004122574,0.5325264,-0.3312509,-0.8725263,-0.21236512,-0.2758288,0.23924342,-0.04048591,-0.04759173,-0.8708061,0.64467,0.005327437,-0.09933734,0.02948555,0.7520267,-0.0032146275,0.62935805,0.13307865,-0.16612145,0.0008479934,-0.2090677,0.15667006,-0.068424374,0.01012801,-0.16088836
0.33398518,-0.25106737,-0.1961905,0.14416683,0.27449155,-0.0133386515,0.6545643,-0.16963142,0.7512561,-1.0179244,-0.24492323,-0.2303722,-0.2084327,-0.16673033,-0.2774889,-0.63605434,-0.28484777,-0.81456935,-0.3913074,0.5757914,0.460757,0.63716996,0.097006604,0.17230493,0.4980524,0.24971224,0.8903618,-0.12172899,0.18130837,0.3681504,-0.34687686,-0.6792796,0.60661215,0.19674993,-0.61519694,-0.14927998,-0.2844587,0.07710079,0.15045983,0.04184582,-0.064151235,0.06350148,-0.5347452,-0.04566139,1.1736711,-0.25751737,0.8715393,0.07452001,0.17113212,0.28867233,-0.5731169,0.5195299,0.30567774,0.11105674,0.07137566,0.030262059,-0.36815253,0.27673358,0.0652974,-0.41448027,0.43653843,0.61900234,-0.48827782,-0.24682,-0.27685556,0.60686374,-0.16172047,0.6391562,0.38000327,0.021849602,0.31363857,0.22897907,-0.010993345,-0.68801916,-1.4362348,-1.2325896,0.37287915,0.3477253,-0.17967263,-0.7893034,-0.44011045,0.6450519,0.38605762,1.309292,-0.12481791,-0.2560586,1.4513639,-0.05318826,0.5380581,0.8651605,0.19716074,-0.40053192,0.11752947,1.5214939,-0.67012674,-0.50449204,0.009831656,-0.44540483,0.2909035,1.2984786,0.21101879,-0.49027684,-0.14297374,-0.5415574,0.1574809,-0.43337026,-0.8037566,-0.26090246,0.7852624,0.052320912,0.18897481,0.5837848,-0.7079505,-0.5159518,-0.01293893,-0.24721374,0.46222696,0.13627787,-0.110032834,-1.3339087,0.12441654,0.042184666,-0.42355078,0.29312703,-0.5707206,0.2063328,-0.14881495,-0.5021285,-0.18572828,-2.0004704,0.30133325,0.47231904,0.29701933,0.2593418,-0.010340309,0.3695512,0.0017386787,-1.161283,-0.6923835,-0.12728435,-0.5937157,0.5270962,0.11857783,0.05149353,0.6326923
0.88977885,-0.7369713,-0.49706063,-0.22213382,-0.13012889,-0.01010393,-0.63234174,-0.017065557,0.046188544,0.1462791,0.013293768,-0.7324533,0.2763898,-0.43904045,-0.3508888,0.36854845,-0.708577,-0.7656659,-0.3888176,-0.151952,0.405305,-0.059546046,0.011131264,-0.040719606,1.4312772,0.6784715,0.016387265,0.2611894,0.14422587,0.38811913,-0.039104618,-0.8269342,-0.07176906,-0.6042885,0.059434697,0.39753857,0.40410173,-0.4707126,-0.028029297,-0.23066337,0.28638887,-0.10153851,-1.0821519,-0.36263588,0.17157263,0.31842104,-0.17702365,0.017196417,0.2545141,-0.48049727,-0.24150845,0.41647208,-0.2581493,0.92163014,0.4242366,0.19500624,-0.010883527,0.46262306,-0.16312143,-0.2179538,0.32029733,0.14626962,-0.5377624,-0.40343273,-0.63572633,0.090083994,-0.27483085,0.4908819,-0.61414796,0.14730102,0.10821369,0.09768295,0.27655318,-0.42838377,-0.33146393,-1.0080919,0.29390737,-0.43124235,-0.06602437,-0.8044474,-0.1087165,0.5378549,-0.01634258,0.8478228,-0.7198632,-0.11661072,0.4554335,-0.24954134,-0.15443102,1.2471696,0.059021544,-0.53457063,0.14538743,0.5610991,-0.6779553,-0.5932058,-0.21220654,-0.9879212,-0.37590778,1.2023047,0.30003542,-0.3524472,0.7961859,0.53385574,0.3636086,0.19728957,-0.53640085,0.18817961,-0.18832251,-0.29000217,-0.47203228,0.7267972,-0.47672814,-0.53081715,0.47423065,-0.54916465,-0.032421555,0.38449582,0.21228296,-1.3067331,-0.100048274,0.15320015,-0.23353717,0.1491595,-0.082916155,-0.2741781,0.17434901,-0.7662706,-0.42619097,-0.8184396,0.16788709,-0.19852996,0.31894872,0.25586197,0.34011146,-0.37940544,0.2421538,-0.722306,0.5013361,0.3104715,0.040954977,-0.04765854,0.9306763,-0.23444577,0.3134399
