date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2026-01-26,0,left,1949600228769767687,https://x.com/FootyScran/status/1949600228769767687,9.0,81.83,2025,Hog Wild,"BBQ pulled pork, mac and cheese, bacon bits, fried onions, sour cream, BBQ sauce",Peoria City,USA,0_left.webp,https://scrandle.com/media/o/Gw5fEmpWoAALRSq.webp,scrandle,center,1199.9947128351348
2026-01-26,0,right,1849178697871269933,https://x.com/MCFC_Josh23/status/1849178697871269933,6.95,87.02,2024,Korean BBQ loaded fries,Price for season ticket holders,Manchester City F.C.,ENG,0_right.webp,https://scrandle.com/media/o/GamaOZ9W8AEzj4Q.webp,scrandle,center,1182.7371519320627
2026-01-26,1,left,1643276398524522496,https://twitter.com/FootyScran/status/1643276398524522496,3.3,90.8,2023,Spicy sausage,,AC Sparta Praha,CZE,1_left.webp,https://scrandle.com/media/o/Fs4XLECXoAI4kxm.webp,scrandle,center,1085.6307043806496
2026-01-26,1,right,1610939439798272001,https://twitter.com/FootyScran/status/1610939439798272001,6.8,55.0,2023,Sushi rolls,,Sydney FC,AUS,1_right.webp,https://scrandle.com/media/o/Fls00CaXEAARIvj.webp,scrandle,center,967.2469622606859
2026-01-26,2,left,1511340191788711937,https://twitter.com/FootyScran/status/1511340191788711937,12.0,40.0,2022,Sausage and a beer,,Brøndby,DEN,2_left.webp,https://scrandle.com/media/o/FPlb46sXsAcIRLE.webp,scrandle,center,830.0666343759337
2026-01-26,2,right,1492125462734254090,https://twitter.com/FootyScran/status/1492125462734254090,13.5,32.7,2022,Garlic fries and cheese pizza,,USA v Honduras,USA,2_right.webp,https://scrandle.com/media/o/FLUYMpBX0AIBUIw.webp,scrandle,center,1005.9842310476828
2026-01-26,3,left,1470103838187261954,https://x.com/FootyScran/status/1470103838187261954,4.0,71.2,2021,Loaded chips,,Hull City A.F.C.,ENG,3_left.webp,https://scrandle.com/media/o/FGbbpTvX0AU8BWX.webp,scrandle,center,1118.7681712895808
2026-01-26,3,right,1836654683550622011,https://x.com/PlekEnjoyer/status/1836654683550622011,0.5,31.38,2024,Ice cream sandwich,,Bali United FC,IDN,3_right.webp,https://scrandle.com/media/o/GX0brLhakAAmUDZ.webp,scrandle,bottom,887.0703332690667
2026-01-26,4,left,1504906991990415369,https://twitter.com/FootyScran/status/1504906991990415369,6.0,79.4,2022,Tikka naan,,Wolverhampton Wanderers F.C.,ENG,4_left.webp,https://scrandle.com/media/o/FOKA7ncXMAA7P-M.webp,scrandle,center,1067.1388279505063
2026-01-26,4,right,1685291871390572544,https://twitter.com/FootyScran/status/1685291871390572544,6.95,90.9,2023,Loaded strip dog,With fries,Barnsley F.C.,USA,4_right.webp,https://scrandle.com/media/o/F2NcBfkXIAAAtWY.webp,scrandle,center,1153.8480646195028
2026-01-26,5,left,1853857257718464624,https://x.com/SportScran/status/1853857257718464624,0.5,24.62,2024,Ice cream sandwich,,Bali United FC,IDN,5_left.webp,https://scrandle.com/media/o/Gbo5WXmX0AAWJz-.webp,scrandle,center,850.4794402593352
2026-01-26,5,right,1621302479332818945,https://x.com/FootyScran/status/1621302479332818945,8.0,34.61,2023,Pizza,,Sport Club do Recife,BRA,5_right.webp,https://scrandle.com/media/o/FoAF_hEWAAIZHGk.webp,scrandle,center,941.8107089854828
2026-01-26,6,left,1486787270678130699,https://twitter.com/FootyScran/status/1486787270678130699,2.5,85.3,2022,Bratwust,,Borussia Dortmund,GER,6_left.webp,https://scrandle.com/media/o/FKIhI7PXsAIpJhl.webp,scrandle,center,1069.5817725158395
2026-01-26,6,right,1603095780478287872,https://twitter.com/FootyScran/status/1603095780478287872,2.5,78.7,2022,"Chorizo roll, olives",With a Mahou beer,CP Almeria,ESP,6_right.webp,https://scrandle.com/media/o/Fj9XG5GWYAIn0-H.webp,scrandle,center,939.8335737486024
2026-01-26,7,left,1577736373058080768,https://x.com/FootyScran/status/1577736373058080768,6.5,30.46,2022,Pizza,,Liverpool F.C.,ENG,7_left.webp,https://scrandle.com/media/o/FeU-29sXwAACyyp.webp,scrandle,center,1052.9919259355518
2026-01-26,7,right,1880676618953454062,https://x.com/SportScran/status/1880676618953454062,7.1,6.23,2025,Hotdog,,Sydney FC,AUS,7_right.webp,https://scrandle.com/media/o/GhmBap7WgAAHxJc.webp,scrandle,center,767.6057635380353
2026-01-26,8,left,1623177202652139520,https://x.com/FootyScran/status/1623177202652139520,15.0,58.03,2023,Carne asada fries,In a souvenir bowl,Los Angeles F.C.,USA,8_left.webp,https://scrandle.com/media/o/FoavD2SXsAEpxZt.webp,scrandle,center,1096.5989774499067
2026-01-26,8,right,100004,,11.25,49.23,2025,Kimchi fried rice,With chicken,New York Mets,USA,8_right.webp,https://scrandle.com/media/o/IMG_5113.webp,scrandle,center,1039.9905863363415
2026-01-26,9,left,1880553174014341284,https://x.com/FootyScran/status/1880553174014341284,3.3,22.25,2025,Stadium Dog,,Sydney v Brisbane,AUS,9_left.webp,https://scrandle.com/media/o/Ghjspq6acAI1KHj.webp,scrandle,center,800.4226926416164
2026-01-26,9,right,1704838589106753562,https://x.com/FootyScran/status/1704838589106753562,7.0,66.04,2023,FrankenFeast hot dog,,Harrogate Town F.C.,ENG,9_right.webp,https://scrandle.com/media/o/F6jNqIHXMAIFO1F.webp,scrandle,center,1107.3086091556327
